"","x"
"1",7119.7955
"2",6885.9349725
"3",7238.481615
"4",8144.62609
"5",9347.6974
"6",10533.14462
"7",11320.603835
"8",11718.3836125
"9",11943.42773
"10",12120.498945
"11",12286.9249475
"12",12450.501815
"13",12613.1831475
"14",12774.873205
"15",12939.36263
"16",13102.9696075
"17",13255.08349
"18",13393.4899225
"19",13539.790605
"20",13712.4953425
"21",13920.9479025
"22",14180.13358
"23",14493.467155
"24",14846.18107
"25",15212.976385
"26",15587.7163475
"27",15958.7695175
"28",16349.57307
"29",16788.28168
"30",17263.32138
"31",17739.9362025
"32",18187.56602
"33",18684.19662
"34",19134.3894825
"35",19645.5507825
"36",20104.9984275
"37",20567.373215
"38",21060.2894025
"39",21569.5796725
"40",22080.8194775
"41",22613.3025
"42",23198.78585
"43",23853.0996825
"44",24540.2853525
"45",25252.7108975
"46",25994.7543475
"47",26789.7798575
"48",27625.535915
"49",28511.8299225
"50",29426.424075
"51",30353.48091
"52",31213.8996975
"53",31949.9702875
"54",32612.8981325
"55",33218.3975825
"56",33780.8238225
"57",34304.724445
"58",34807.6896425
"59",35281.407245
"60",35702.007035
"61",36075.7438325
"62",36381.7702425
"63",36620.7503575
"64",36819.426455
"65",36993.568965
"66",37147.21506
"67",37272.72802
"68",37365.096995
"69",37420.11806
"70",37434.81684
"71",37410.4242175
"72",37363.6534375
"73",37302.709055
"74",37229.80197
"75",37137.2363475
"76",37025.9389325
"77",36893.0599775
"78",36736.10682
"79",36558.1117975
"80",36362.7861725
"81",36158.7542725
"82",35944.7041275
"83",35721.2664875
"84",35494.7124025
"85",35262.4580475
"86",35029.90024
"87",34796.4842375
"88",34568.63151
"89",34340.63659
"90",34119.1263
"91",33901.681635
"92",33686.829185
"93",33476.35777
"94",33267.856745
"95",33060.6919125
"96",32855.87659
"97",32653.131795
"98",32452.6567075
"99",32252.939535
"100",32054.7058875
"101",31861.7033425
"102",31667.4661025
"103",31476.0803275
"104",31287.37279
"105",31101.823505
"106",30920.3698625
"107",30741.6800375
"108",30565.188875
"109",30392.763585
"110",30224.6175525
"111",30059.6081375
"112",29898.36224
"113",29741.0650225
"114",29588.188265
"115",29438.0874325
"116",29295.568105
"117",29152.70099
"118",29015.956975
"119",28883.2338075
"120",28753.3216075
"121",28627.1896625
"122",28505.193505
"123",28387.95083
"124",28272.392925
"125",28161.789635
"126",28053.5838175
"127",27949.7837925
"128",27846.75527
"129",27745.4577975
"130",27648.62826
"131",27552.7607675
"132",27458.428195
"133",27366.1311
"134",27277.12672
"135",27188.4910575
"136",27101.0172
"137",27015.6344625
"138",26931.772815
"139",26848.9056025
"140",26766.0424725
"141",26685.0585
"142",26603.9495325
"143",26525.680175
"144",26446.4637575
"145",26369.1223475
"146",26290.743775
"147",26214.479605
"148",26137.97881
"149",26062.0641425
"150",25988.2746475
"151",25915.5197175
"152",25843.3485225
"153",25776.1044175
"154",25712.558595
"155",25655.55005
"156",25600.42022
"157",25554.8531825
"158",25519.1411075
"159",25493.8509225
"160",25481.228435
"161",25480.6502775
"162",25490.1537275
"163",25503.5696325
"164",25518.60558
"165",25536.2866725
"166",25562.6163925
"167",25598.956775
"168",25650.56972
"169",25701.1952525
"170",25746.33313
"171",25795.821065
"172",25851.7335925
"173",25910.6628775
"174",25967.7781825
"175",26022.45134
"176",26079.2996575
"177",26143.3185225
"178",26208.33997
"179",26267.50024
"180",26323.82597
"181",26372.5755025
"182",26410.0589675
"183",26443.0585125
"184",26492.12997
"185",26544.11972
"186",26573.3767125
"187",26582.056055
"188",26582.1778675
"189",26577.8240875
"190",26571.861645
"191",26579.770585
"192",26600.676795
"193",26616.9682775
"194",26622.48449
"195",26622.34989
"196",26629.2435575
"197",26629.9916075
"198",26604.4141325
"199",26567.1838925
"200",26522.1307675
"201",26474.2825675
"202",26422.5636875
"203",26370.660755
"204",26334.18831
"205",26292.4298625
"206",26267.9145325
"207",26262.17739
"208",26260.5653425
"209",26282.9691825
"210",26565.0563625
"211",26807.95448
"212",27054.053425
"213",27568.9025275
"214",28647.57161
"215",30328.3982375
"216",32620.78274
"217",35466.869445
"218",38688.8163775
"219",42096.9445175
"220",45549.2096
"221",48939.8377375
"222",52254.7359425
"223",55609.565295
"224",59036.5053575
"225",62484.2358125
"226",65921.93114
"227",69314.474235
"228",72601.7744375
"229",75728.468405
"230",78615.687335
"231",81221.068135
"232",83601.2100175
"233",85791.130015
"234",87796.1062375
"235",89596.0548625
"236",91155.19639
"237",92453.4403525
"238",93491.89658
"239",94281.6314225
"240",94830.0803725
"241",95140.14571
"242",95205.8912125
"243",95051.3933525
"244",94704.41209
"245",94191.9147675
"246",93554.50291
"247",92805.68918
"248",91976.214155
"249",91056.7116875
"250",90055.606635
"251",88995.319375
"252",87874.676055
"253",86710.5801925
"254",85521.25462
"255",84314.4482275
"256",83091.7203225
"257",81874.3462975
"258",80665.0819
"259",79465.87156
"260",78278.9013425
"261",77115.8520925
"262",75979.663725
"263",74867.64329
"264",73795.2387525
"265",72745.798285
"266",71729.6010875
"267",70743.784925
"268",69787.1522325
"269",68856.7731575
"270",67954.2043625
"271",67077.737195
"272",66228.2722575
"273",65398.3870525
"274",64592.840245
"275",63808.0607625
"276",63041.4500875
"277",62292.78958
"278",61562.19093
"279",60850.15837
"280",60150.9181675
"281",59467.5111
"282",58803.237845
"283",58153.2373275
"284",57516.132385
"285",56888.96336
"286",56278.0390475
"287",55682.1576625
"288",55097.5620875
"289",54525.08606
"290",53967.4612475
"291",53421.0510125
"292",52886.6589925
"293",52364.37731
"294",51854.484155
"295",51355.3342625
"296",50866.166545
"297",50390.1756425
"298",49924.091225
"299",49467.989855
"300",49022.798295
"301",48586.84956
"302",48159.3380525
"303",47740.9867375
"304",47331.7656325
"305",46930.2047525
"306",46539.3904375
"307",46155.93223
"308",45779.480625
"309",45410.35401
"310",45047.88469
"311",44695.715335
"312",44348.61164
"313",44006.386035
"314",43671.7490825
"315",43343.251555
"316",43019.5383275
"317",42702.865195
"318",42389.286955
"319",42081.113815
"320",41778.68542
"321",41480.6423775
"322",41185.0210575
"323",40894.40725
"324",40606.1873425
"325",40325.4685675
"326",40046.625165
"327",39768.8047675
"328",39495.731175
"329",39226.1903775
"330",38960.75226
"331",38697.0940675
"332",38437.3456375
"333",38179.8349575
"334",37925.05385
"335",37672.892945
"336",37423.2854825
"337",37176.8681025
"338",36933.9459075
"339",36695.0280575
"340",36456.40013
"341",36223.4476775
"342",35996.5280225
"343",35775.3014175
"344",35563.367345
"345",35356.8575225
"346",35152.8888
"347",34953.477515
"348",34755.0435675
"349",34561.705275
"350",34375.396095
"351",34185.1880375
"352",34006.6020675
"353",33838.146815
"354",33671.9439075
"355",33502.02472
"356",33338.038625
"357",33180.4170275
"358",33030.88702
"359",32884.9258075
"360",32739.9405
"361",32596.5406125
"362",32453.06409
"363",32305.0894325
"364",32159.35343
"365",32013.82158
"366",31870.80568
"367",31727.071595
"368",31584.7036975
"369",31445.9434725
"370",31308.845745
"371",31167.602485
"372",31026.8569825
"373",30892.8844875
"374",30759.53985
"375",30627.67395
"376",30501.54174
"377",30379.50009
"378",30259.499285
"379",30138.105065
"380",30014.818135
"381",29889.78256
"382",29762.6280225
"383",29631.11466
"384",29501.669395
"385",29376.125005
"386",29248.12969
"387",29115.708665
"388",28984.1837825
"389",28852.6669975
"390",28719.7571
"391",28586.10901
"392",28449.1716325
"393",28310.78207
