"","x"
"1",10100
"2",10100
"3",10200
"4",10300
"5",10300
"6",10400
"7",10500
"8",10500
"9",10700
"10",10700
"11",10800
"12",10900
"13",11000
"14",11100
"15",11100
"16",11200
"17",11200
"18",11200
"19",11200
"20",11200
"21",11200
"22",11200
"23",11100
"24",11100
"25",11100
"26",11100
"27",11000
"28",11000
"29",11000
"30",11100
"31",11100
"32",11200
"33",11200
"34",11200
"35",11300
"36",11400
"37",11600
"38",11800
"39",12000
"40",12300
"41",12600
"42",12900
"43",13300
"44",13700
"45",14000
"46",14300
"47",14700
"48",15100
"49",15400
"50",15800
"51",16400
"52",17000
"53",17700
"54",18500
"55",19200
"56",20000
"57",20700
"58",21400
"59",22100
"60",22700
"61",23200
"62",23800
"63",24200
"64",24600
"65",25000
"66",25300
"67",25600
"68",25900
"69",26100
"70",26300
"71",26500
"72",26600
"73",26800
"74",26900
"75",27000
"76",27100
"77",27200
"78",27200
"79",27300
"80",27400
"81",27400
"82",27400
"83",27400
"84",27400
"85",27500
"86",27500
"87",27400
"88",27400
"89",27400
"90",27300
"91",27300
"92",27200
"93",27000
"94",26900
"95",26700
"96",26600
"97",26400
"98",26300
"99",26100
"100",25900
"101",25700
"102",25500
"103",25300
"104",25100
"105",24900
"106",24700
"107",24600
"108",24500
"109",24300
"110",24200
"111",24000
"112",23900
"113",23800
"114",23700
"115",23600
"116",23500
"117",23400
"118",23400
"119",23300
"120",23200
"121",23100
"122",23000
"123",22900
"124",22900
"125",22800
"126",22700
"127",22600
"128",22500
"129",22500
"130",22400
"131",22300
"132",22200
"133",22100
"134",22100
"135",22000
"136",21900
"137",21900
"138",21800
"139",21800
"140",21800
"141",21800
"142",21800
"143",21700
"144",21700
"145",21800
"146",21700
"147",21700
"148",21700
"149",21700
"150",21700
"151",21700
"152",21700
"153",21700
"154",21700
"155",21600
"156",21700
"157",21600
"158",21600
"159",21600
"160",21600
"161",21600
"162",21600
"163",21600
"164",21600
"165",21600
"166",21600
"167",21600
"168",21600
"169",21600
"170",21600
"171",21600
"172",21600
"173",21700
"174",21700
"175",21700
"176",21700
"177",21800
"178",21800
"179",21800
"180",21800
"181",21900
"182",21900
"183",21900
"184",21900
"185",21900
"186",21900
"187",21900
"188",21900
"189",21900
"190",21900
"191",21900
"192",21900
"193",21900
"194",21800
"195",21800
"196",21700
"197",21700
"198",21700
"199",21600
"200",21600
"201",21500
"202",21400
"203",21400
"204",21400
"205",21400
"206",21500
"207",21600
"208",21700
"209",21900
"210",22100
"211",22500
"212",22900
"213",23400
